No,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Ar_N,fr_C_O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,O=C(C1CC(CCCCCCCC)CCCCCCCC)C2=C(SC(C)=C2)C3=C(C=C(C)S3)C1=O,13.73426278730766,13.73426278730766,0.07527282505186483,-0.510941861,0.16480639390611798,13.971428571428572,514.8410000000002,468.47300000000024,514.2939227,194,0.17471066516589726,-0.293304648,0.29330464802295353,0.17471066516589726,0.6571428571428571,1.0571428571428572,1.4857142857142858,32.13638943940734,9.806455284769436,2.3801543481386607,-2.215915754,2.4496835896957427,-2.256506934,7.224333877927715,0.07815852295308982,3.4053658908822846,1.7190754222298474,877.0896108591695,25.208531534440663,22.548995956412174,24.181989118267627,16.955927458031294,14.254002403189014,15.886995565044467,10.695397896815079,13.208043869925424,7.581564521921309,9.846749507832776,5.580468543248667,7.772229890006921,-1.26,68446642.09647676,28.313485243953963,14.471971232951006,7.859544417717762,221.4801055440643,0,0,0,0,0,0,9.589074368143644,0,0,22.673571755869474,103.73897712034541,38.318936205391864,20.881197370796592,15.672200433563992,9.589074368143644,34.24006164859935,0,0,11.835812092322787,124.00727314265266,0,33.01393150771981,0,9.754294387402599,0,0,0,22.673571755869474,11.566489892729878,0,25.683286491704035,140.63007048221166,12.13273413692322,9.754294387402599,34.14,0,0,0,11.566489892729878,5.917906046161393,49.89795662697721,77.04985947511214,22.673571755869474,12.13273413692322,27.694948798762496,0,0,3.3402658049863616,31.83706046501362,0,1.5913541385221097,0.1069330389027342,4.061972781553617,18.559455922896458,8.66962451479176,0.6774193548387096,35,0,2,0,2,2,0,0,0,4,0,4,16,0,0,3,10.596139999999991,153.34999999999977,0,0
2,CC1=CC(C(CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C)C5=NSN=C45)=C2)=H10C3C=C1,15.296383856041862,15.296383856041862,0.21604670084380895,-0.303312307,0.03858233369822854,14.71875,907.3839999999999,828.7599999999999,906.5403009760003,348,0.2615589616541267,-0.274061108,0.2740611079716108,0.2615589616541267,0.421875,0.8125,1.296875,32.13639327105064,9.803189050009626,2.430576711262165,-2.35685548,2.4688618821411144,-2.459110989,7.234747712056432,0.055617408981705405,3.961666716801865,1.3992973178847607,2197.1997501276674,45.588635944135085,40.3474953981503,41.98048856000575,31.124161215827865,25.663860495843554,27.296853657699007,19.27233332705615,21.644011385261745,14.070939558073219,16.385934292438474,10.374758873209924,12.361105091208785,-3.62,142281555499759.84,49.806229190647784,24.77557260654665,12.034511781325214,393.5298763847777,0,0,0,0,0,0,28.97796819798824,0,0,22.673571755869474,156.11138125728274,93.32822688587476,60.06090449065092,11.126902983393991,19.178148736287287,57.074739102205086,0,9.799819461700956,11.835812092322787,195.64214214836807,13.08951281182515,69.09260706295593,0,20.194893072800895,0,0,0,22.673571755869474,46.51805119093213,0,25.683286491704035,233.66722113746042,36.39820241076966,30.96734150173048,74.76,0,0,9.589074368143644,35.46453100972881,57.242670190936714,91.68130105621606,91.7268261305144,22.673571755869474,19.056471336613843,58.884154272299554,0,0,3.3647872098121954,67.59405402103033,0,3.183047854214397,-0.753313498,12.226914098977213,27.668173732436706,13.737763555295288,0.6071428571428571,64,0,6,0,2,4,0,0,0,6,0,8,30,0,0,6,16.780039999999968,271.2659999999994,0,0
3,CC1=CC(CCCCCCCC)=C(C2=CC=C(C(C3=C(F)C(F)=C(C(C4=CC=C(C5=C(CCCCCCCC)C=C(C)S5)S4)=O)C(F)=C3F)=O)S2)S1,15.561895056949101,15.561895056949101,0.04801047339008857,-1.87054238,0.034075281384994924,11.538461538461538,787.0880000000005,740.7200000000005,786.2316775920002,278,0.2086037898507451,-0.287461114,0.28746111432012694,0.2086037898507451,0.5,0.8461538461538461,1.2115384615384615,32.13876243094293,10.00210521841563,2.340514516429102,-2.097360101,2.4083215659262605,-2.164978467,7.235044927062417,0.1009178382295357,3.937231611122328,1.3342601966701388,1825.2983742218298,37.36286759389039,30.324944186569503,33.5909305102804,25.048151610906306,18.39455848532257,21.660544809033475,13.450330240749727,18.13053012683372,9.288385230113992,14.0019314762225,6.554545511899572,10.87757799484199,-2.92,338224750446.4014,40.269074062611274,18.905529238356017,9.408330719994145,320.50526112512375,0,11.126902983393991,0,0,0,0,9.589074368143644,0,0,45.34714351173895,78.05569062864136,87.05586628524894,29.262883162207793,9.754294387402599,27.15073455884292,56.913633404468825,0,0,0,117.58645151972665,0,101.42948051654643,0,19.508588774805197,0,0,0,45.34714351173895,11.566489892729878,12.841643245852019,37.11635776356483,142.24880298423022,36.39820241076966,19.508588774805197,34.14,0,0,17.56166019069928,9.754294387402599,0,101.58828763902733,63.49930712033131,34.80630589279269,13.847474399381248,25.980208536304467,0,62.24758022779639,5.223944517296501,32.443965770178814,0,-0.377758881,-9.818893209,10.522165962975938,15.706888877907039,8.385440067382861,0.42857142857142855,52,0,2,0,4,5,0,0,0,6,0,10,20,0,0,5,14.70783999999997,212.03699999999944,0,0
4,CC1=CC(CCCCCC)=C(C2=CC(CCCCCC)=C(C3=CC(CCCCCC)=C(C4=CC(CCCCCC)=C(C)S4)S3)S2)S1,2.6234210671183074,2.6234210671183074,1.2094335264970186,1.2094335264970186,0.06780745050730941,11.695652173913043,695.2260000000005,632.7300000000005,694.3734359840001,254,0.04813238694096307,-0.139466922,0.1394669221200867,0.04813238694096307,0.3695652173913043,0.717391304347826,1.1521739130434783,32.13966515371972,10.0241198758459,2.2116877189396567,-2.019364695,2.4857074014944684,-1.866602704,7.284201922234524,0.6663090177049676,3.82996948863606,1.6953177802653223,1423.7706418160924,32.72719310349883,30.084529862344898,33.3505161860558,22.48142680573604,18.935034925733227,22.201021249444132,13.576154251978247,18.19319790773507,9.440816191796378,14.520988648423785,6.679762396524804,11.644429227536575,-1.2,20998232262.075104,37.615812048108396,20.344281715282563,10.907762141473546,298.65263379364694,0,0,0,0,0,0,0,0,0,45.34714351173895,104.74480827387463,111.73332162342378,39.01717754961039,0,0,45.34714351173895,0,0,0,169.95885565666399,0,56.27356862803702,0,29.262883162207793,0,0,0,45.34714351173895,0,25.683286491704038,13.847474399381248,162.43619511976925,24.26546827384644,29.262883162207793,0,0,0,0,0,0,0,152.80216842702671,36.88524754789188,11.336785877934737,99.81824910579442,0,0,8.28608419252846,12.245914998870145,0,6.388176682153942,0,10.291587019152507,26.172410558441708,13.94915988218657,0.6190476190476191,46,0,0,0,4,4,0,0,0,4,0,4,23,0,0,4,16.041639999999962,215.11599999999925,0,0
5,CC1=CC=C(C2=C3C=C(C4=CC=C(C5=CC=C(C)S5)S4)C=C2)C(C3(CCCCCCCC)CCCCCCCC)=C1,2.6052755731922397,2.6052755731922397,0.1459949661746649,0.1459949661746649,0.1152554697648972,13.463414634146341,582.9630000000003,532.5630000000003,582.3353936000001,218,0.04487890658524797,-0.139770148,0.13977014825594597,0.04487890658524797,0.5121951219512195,1.048780487804878,1.6829268292682926,32.13639007832887,9.698490718194392,2.4203403945367525,-2.331454851,2.5521894114848744,-2.254265357,7.234214797346021,0.39753359697175505,3.6979871166706904,1.485570741533166,1384.700587163436,28.65827900274648,25.989494209435637,27.622487371291086,20.05201046521699,16.485251872958454,18.118245034813903,12.501235296134276,14.872913354339858,9.303888983864175,11.634672775811211,7.032588888481048,8.992808944398819,-2.16,2705063323.8022623,30.302785549949828,14.341916876376219,6.914879086300333,257.8114812985184,0,0,0,0,0,0,0,0,0,22.673571755869474,126.79262070849845,84.8382104460263,24.923579244201978,0,0,22.673571755869474,0,0,0,123.00144198912345,0,82.2311723534084,0,31.321796056194884,0,0,0,22.673571755869474,0,5.41499046939678,13.847474399381248,125.3064787891377,60.6636706846161,31.321796056194884,0,0,0,0,5.41499046939678,0,0,131.65389746255735,11.126902983393991,22.673571755869474,88.35861948337859,0,0,3.8573079328979514,5.564764581321825,0,9.162672285477312,0,23.96431683022101,18.905449093175093,9.128822610240144,0.48717948717948717,41,0,0,0,2,4,0,0,0,2,0,2,16,0,0,5,13.52813999999997,184.74399999999937,0,0
6,CCCCCCCCC(CCCCCCCC)N1C2=CC(C3=CC=C(C(C4=NSN=C54)=CC=C5C6=CC=C(S6)C7=CC=CC=C7)S3)=CC=C2C8=CC=C(C9=CC=CC=C9)C=C81,4.882067618275746,4.882067618275746,0.46629782798235964,0.46629782798235964,0.07151645630603408,11.852459016393443,856.283,798.8269999999995,855.3714618,310,0.11359875934236097,-0.337314272,0.33731427212936416,0.11359875934236097,0.4262295081967213,0.8852459016393442,1.4426229508196722,32.14113149795096,9.987835674969276,2.214078062296007,-2.223774872,2.4429688091163864,-2.094237562,7.1905253042257415,0.4097593817386983,4.147484995486086,1.0732244077323032,2790.0014148611726,41.38368287406167,35.74493678586451,38.19442652864768,30.195335781100194,22.844466932685677,25.207756837881345,16.782532206938175,19.478533807767487,12.559950845184733,15.423613324665594,9.26932557001217,11.90935806752362,-4.88,173578369571002.4,41.471434011945014,19.87844546374918,9.186228255901126,374.02758134839286,4.567099647791355,11.033401435232523,0,0,0,0,0,0,0,22.673571755869474,187.95920696987912,71.49365162340966,52.966481733893,17.244888062814873,0,67.24101040046273,0,13.314179610624254,0,109.78081794949337,0,133.46007550615548,0,52.889297724987166,0,0,0,34.40175910106809,13.314179610624254,0,0,109.78081794949337,133.46007550615548,85.72854902438179,30.71,0,0,0,0,6.041840829147961,22.160304418626517,165.18793467191813,0,22.673571755869474,151.87464955332806,0,12.517029047975086,4.995659756356682,5.0040394648458175,0,12.138133210347021,0,50.07430596951425,18.413662456608158,4.6303072603674496,0.3090909090909091,61,0,3,0,4,9,0,0,0,6,0,6,20,0,0,9,18.29949999999999,268.3739999999995,0,0
7,CC1=CC(CCCCCCCCCCCC)=C(C2=C3C(N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=C(C6=C(CCCCCCCCCCCC)C=C(C7=CC(C(CCCCCCCCCCCC)(CCCCCCCCCCCC)C8=C9C=CC(C)=C8)=C9C=C7)S6)S2)S1,5.977089097950181,5.977089097950181,0.022915483203937992,0.022915483203937992,0.035527463165730744,12.617021276595745,1318.1859999999979,1193.1939999999988,1316.8926649679997,508,0.10960931144066711,-0.242232497,0.2422324966759437,0.10960931144066711,0.30851063829787234,0.6702127659574468,1.0957446808510638,32.13820852301312,9.698398847075987,2.425230226683252,-2.331525293,2.5688227522531166,-2.254290635,7.284095877159402,0.3965199709240084,1.569110000699703,1.1055120246948014,3385.9294908378397,65.42315972329114,60.124175280012786,62.573665022795964,46.36520351315639,39.3139482363611,41.7634379791443,28.906250644779664,32.23539319881775,21.09221413840728,24.907994401557307,15.606960846448377,19.388638545863188,-4.68,5.835005043861903e+24,73.56354247469672,40.89759901990661,21.16769973632909,585.422235341441,0,11.033401435232523,0,0,0,0,0,0,0,34.01035763380421,368.2451279885718,109.5156657842011,31.17333503389467,26.019297570800816,0,45.04375906903673,0,9.967957041894417,0,329.4735650762848,0,141.8890118844953,0,63.59084941668839,0,0,0,34.01035763380421,9.967957041894417,18.2566337152488,13.847474399381248,330.063861613841,109.19460723230902,74.62425085192092,25.78,0,0,0,5.41499046939678,0,46.38980365417545,332.318100275282,11.126902983393991,22.673571755869474,162.07381630838748,0,0,6.049178810083042,20.158848190098773,0,18.368503236717572,0,42.38319811313531,59.12571593880206,13.997889044496581,0.5730337078651685,94,0,2,0,4,8,0,0,0,5,0,5,49,0,0,9,30.581440000000118,420.0570000000014,0,0
8,CC(C=C1)=CC2=C1C(C=C3)=C(C2(CCCCCCCCCCCC)CCCCCCCCCCCC)C=C3C(S4)=CC(CCCCCCCCCCCC)=C4C5=C6C(N=C7C8=C(C(C7=N6)=CC=C9)C9=CC=C8)=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S5,5.950847601351539,5.950847601351539,0.03334476817606302,0.03334476817606302,0.03553826147604466,12.934782608695652,1290.1319999999994,1169.171999999999,1288.8613648399999,496,0.10960976366909288,-0.242208406,0.24220840639117097,0.10960976366909288,0.33695652173913043,0.7282608695652174,1.184782608695652,32.138208157052006,9.698398864740481,2.426140878784219,-2.331525196,2.5744651793666393,-2.25429062,7.284122796904034,0.39651998185955645,1.5694291731422407,1.0084057196574503,3479.76444540101,63.74943313692416,58.814774203254295,61.264263946037474,45.365203513156395,38.730614903027764,41.18010464581096,28.88345875378831,32.2126013078264,21.412702926793255,25.22848318994328,16.12361464172659,19.905292341141383,-4.42,3.648303037881721e+24,70.38266411758427,37.18851334225441,18.165899731503675,572.0409745135834,0,11.033401435232523,0,0,0,0,0,0,0,34.01035763380421,343.9796597147254,114.90188999866591,36.55955924835946,26.019297570800823,0,55.816207497966325,0,9.967957041894417,0,329.4735650762848,0,117.62354361064887,0,63.590849416688386,0,0,0,34.01035763380421,9.967957041894417,18.2566337152488,13.847474399381248,330.0638616138411,84.92913895846256,85.39669928085051,25.78,0,0,0,5.41499046939678,0,35.26290067078146,354.21745168760566,11.126902983393991,22.673571755869474,137.80834803454107,0,0,6.092712558331346,20.22762391026338,0,18.93748118788285,0,34.157140616792994,59.40226090734188,14.011390650313048,0.5862068965517241,92,0,2,0,4,8,0,0,0,5,0,5,47,0,0,10,30.048040000000114,411.12100000000163,0,0
9,CC1=CC=C(/C=C/C2=CC=C(C3=CC=C(C(C=CC(C)=C4)=C4C5(CCCCCCCC)CCCCCCCC)C5=C3)S2)S1,2.59800589989082,2.59800589989082,0.138127620618411,0.138127620618411,0.10460301154853019,13.581395348837209,609.0010000000007,556.5850000000004,608.3510437,228,0.03487428863588067,-0.141262186,0.14126218637490084,0.03487428863588067,0.5581395348837209,1.1162790697674418,1.744186046511628,32.134748795398274,9.698490866139647,2.420180255622149,-2.331450349,2.5506433996276114,-2.254265995,7.161362957562263,0.3975335868929854,3.7236777750913115,1.4521127698866296,1463.1134560829582,30.07249256511957,27.14419474781489,28.777187909670342,21.035173712811385,17.145935475481412,18.77892863733686,12.91080494336971,15.345639231902462,9.514476520862578,11.579968361220258,7.144998470933635,8.83203204647116,-2.42,6972595630.263986,31.987735343943903,15.53534375128227,7.813650467464987,269.8517624951274,0,0,0,0,0,0,0,0,0,22.673571755869474,126.79262070849845,96.99025065969407,24.923579244201978,0,0,34.825611969537235,0,0,0,123.00144198912345,0,91.98546674081099,0,21.567501668792286,0,0,0,22.673571755869474,0,5.41499046939678,13.847474399381248,135.06077317654032,60.6636706846161,33.71954188246005,0,0,0,0,5.41499046939678,0,0,131.65389746255735,11.126902983393991,22.673571755869474,100.51065969704636,0,0,3.7793620350876833,5.397522751071138,0,9.11824224386853,0,23.785858104009904,23.401849701834518,9.100498497461556,0.4634146341463415,43,0,0,0,2,4,0,0,0,2,0,2,17,0,0,5,14.031539999999968,194.67799999999934,0,0
